ID_Player,Name,birth_date,Team,Saison,Type,Start,End
158023,Lionel Messi,"Jun 24, 1987",Paris Saint-Germain,2021/2022,Blessure à la cheville ou au pied,"Apr 18, 2022","Apr 22, 2022"
158023,Lionel Messi,"Jun 24, 1987",Paris Saint-Germain,2021/2022,Maladie,"Mar 15, 2022","Mar 25, 2022"
158023,Lionel Messi,"Jun 24, 1987",Paris Saint-Germain,2021/2022,Virus,"Jan 2, 2022","Jan 20, 2022"
158023,Lionel Messi,"Jun 24, 1987",Paris Saint-Germain,2021/2022,Blessure à l'aine/au bassin,"Oct 30, 2021","Nov 12, 2021"
9014,Arjen Robben,"Jan 23, 1984",FC Groningen,2020/2021,Blessure au mollet,"Oct 19, 2020","Apr 10, 2021"
9014,Arjen Robben,"Jan 23, 1984",FC Groningen,2020/2021,Blessure à l'aine/au bassin,"Sep 16, 2020","Oct 16, 2020"
9014,Arjen Robben,"Jan 23, 1984",FC Groningen,2020/2021,Coup,"Sep 10, 2020","Sep 12, 2020"
158023,Lionel Messi,"Jun 24, 1987",Paris Saint-Germain,2021/2022,Blessure au genou,"Sep 20, 2021","Sep 27, 2021"
158023,Lionel Messi,"Jun 24, 1987",FC Barcelona,2019/2020,Ischio-jambier,"Sep 25, 2019","Oct 1, 2019"
139869,Wesley Sneijder,"Jun 9, 1984", Al Gharafa,2017/2018,Entorse du muscle de la cuisse,"Nov 27, 2017","Jan 5, 2018"
156616,Franck Ribéry,"Apr 7, 1983",FC Bayern München,2018/2019,Ischio-jambier,"Apr 23, 2019","May 3, 2019"
5479,Iker Casillas Fernández,"May 20, 1981",Real Madrid CF,2013/2014,Blessure à la côte,"Sep 19, 2013","Sep 24, 2013"
9014,Arjen Robben,"Jan 23, 1984",FC Bayern München,2018/2019,Ischio-jambier,"Dec 3, 2018","Apr 27, 2019"
9014,Arjen Robben,"Jan 23, 1984",FC Bayern München,2018/2019,Blessure au genou,"Nov 7, 2018","Nov 23, 2018"
158023,Lionel Messi,"Jun 24, 1987",FC Barcelona,2019/2020,Entorse du mollet,"Aug 5, 2019","Sep 16, 2019"
158023,Lionel Messi,"Jun 24, 1987",FC Barcelona,2018/2019,Bras cassé,"Oct 21, 2018","Nov 10, 2018"
139869,Wesley Sneijder,"Jun 9, 1984",OGC Nice,2017/2018,Blessure à la cheville ou au pied,"Sep 12, 2017","Sep 21, 2017"
139869,Wesley Sneijder,"Jun 9, 1984",Galatasaray SK,2014/2015,Ischio-jambier,"Jul 12, 2014","Jul 13, 2014"
156616,Franck Ribéry,"Apr 7, 1983",FC Bayern München,2018/2019,Maladie,"Apr 9, 2019","Apr 19, 2019"
156616,Franck Ribéry,"Apr 7, 1983",FC Bayern München,2018/2019,Virus,"Feb 27, 2019","Mar 8, 2019"
5479,Iker Casillas Fernández,"May 20, 1981",Real Madrid CF,2013/2014,Blessure au dos,"May 25, 2013","May 30, 2013"
5479,Iker Casillas Fernández,"May 20, 1981",Real Madrid CF,2012/2013,Main cassée,"Jan 24, 2013","Mar 26, 2013"
143001,Carlos Tévez,"Feb 5, 1984",Manchester City,2010/2011,Ischio-jambier,"Apr 12, 2011","May 8, 2011"
20801,C. Ronaldo dos Santos Aveiro,"Feb 5, 1985",Manchester United,2021/2022,Blessure au mollet,"Apr 10, 2022","Apr 15, 2022"
9014,Arjen Robben,"Jan 23, 1984",FC Bayern München,2013/2014,Blessure au genou,"Dec 16, 2013","Dec 22, 2013"
121944,Bastian Schweinsteiger,"Aug 1, 1984",Chicago Fire Football Club,2017,Coup,"Feb 28, 2017","Mar 28, 2017"
140601,Nemanja Vidić,"Oct 21, 1981",Manchester United,2013/2014,Coup,"Apr 19, 2014","Apr 23, 2014"
158023,Lionel Messi,"Jun 24, 1987",FC Barcelona,2016/2017,Virus,"Nov 19, 2016","Nov 22, 2016"
158023,Lionel Messi,"Jun 24, 1987",FC Barcelona,2016/2017,Entorse du muscle de la cuisse,"Sep 22, 2016","Oct 12, 2016"
152729,Gerard Piqué Bernabeu,"Feb 2, 1987",FC Barcelona,2022,Ischio-jambier,"May 4, 2022","Jun 13, 2022"
139869,Wesley Sneijder,"Jun 9, 1984",Inter,2012/2013,Blessure à la cheville ou au pied,"May 31, 2012","Jun 1, 2012"
177003,Luka Modrić,"Sep 9, 1985",Real Madrid CF,2021/2022,Virus,"Dec 15, 2021","Dec 24, 2021"
41,Andrés Iniesta Luján,"May 11, 1984",FC Barcelona,2017/2018,Ischio-jambier,"Mar 5, 2018","Mar 13, 2018"
156616,Franck Ribéry,"Apr 7, 1983",FC Bayern München,2018/2019,Entorse du muscle de la cuisse,"Jan 10, 2019","Feb 6, 2019"
156616,Franck Ribéry,"Apr 7, 1983",FC Bayern München,2018/2019,Coup,"Dec 17, 2018","Dec 19, 2018"
143001,Carlos Tévez,"Feb 5, 1984",Manchester City,2010/2011,Pubalgie,"Mar 20, 2011","Mar 26, 2011"
143001,Carlos Tévez,"Feb 5, 1984",Manchester City,2010/2011,Entorse du muscle de la cuisse,"Dec 29, 2010","Dec 31, 2010"
20801,C. Ronaldo dos Santos Aveiro,"Feb 5, 1985",Manchester United,2021/2022,Maladie,"Apr 2, 2022","Apr 8, 2022"
121944,Bastian Schweinsteiger,"Aug 1, 1984", Olympique Lyonnais II,2016/2017,Lésion du ligament latéral interne du genou,"Mar 23, 2016","May 23, 2016"
121944,Bastian Schweinsteiger,"Aug 1, 1984",Manchester United,2015/2016,Blessure au genou,"Jan 10, 2016","Mar 9, 2016"
140601,Nemanja Vidić,"Oct 21, 1981",Manchester United,2013/2014,Entorse de l'aine,"Mar 18, 2014","Mar 25, 2014"
140601,Nemanja Vidić,"Oct 21, 1981",Manchester United,2013/2014,Coup,"Dec 9, 2013","Dec 25, 2013"
140601,Nemanja Vidić,"Oct 21, 1981",Manchester United,2013/2014,Commotion cérébrale,"Nov 11, 2013","Nov 30, 2013"
158023,Lionel Messi,"Jun 24, 1987",FC Barcelona,2015/2016,Colique néphrétique,"Feb 8, 2016","Feb 12, 2016"
158023,Lionel Messi,"Jun 24, 1987",FC Barcelona,2015/2016,Colique néphrétique,"Dec 16, 2015","Dec 19, 2015"
41,Andrés Iniesta Luján,"May 11, 1984",FC Barcelona,2017/2018,Entorse du mollet,"Jan 15, 2018","Jan 24, 2018"
41,Andrés Iniesta Luján,"May 11, 1984",FC Barcelona,2017/2018,Entorse du mollet,"Dec 4, 2017","Dec 15, 2017"
156616,Franck Ribéry,"Apr 7, 1983",FC Bayern München,2018/2019,Blessure au dos,"Oct 21, 2018","Oct 25, 2018"
143001,Carlos Tévez,"Feb 5, 1984",Manchester City,2010/2011,Entorse du muscle de la cuisse,"Oct 25, 2010","Nov 9, 2010"
135455,Maicon Douglas Sisenando,"Jul 26, 1981",Manchester City,2012/2013,Blessure au genou,"Feb 27, 2013","Apr 20, 2013"
20801,C. Ronaldo dos Santos Aveiro,"Feb 5, 1985",Manchester United,2021/2022,Blessure à la hanche/cuisse,"Mar 6, 2022","Mar 11, 2022"
121944,Bastian Schweinsteiger,"Aug 1, 1984",FC Bayern München,2013/2014,Ligaments de la cheville,"Dec 16, 2013","Dec 22, 2013"
121944,Bastian Schweinsteiger,"Aug 1, 1984",FC Bayern München,2012/2013,Entorse du mollet,"May 20, 2012","Jun 7, 2012"
140601,Nemanja Vidić,"Oct 21, 1981",Manchester United,2013/2014,Coup,"Oct 16, 2013","Oct 28, 2013"
140601,Nemanja Vidić,"Oct 21, 1981",Manchester United,2012/2013,Coup,"Apr 18, 2013","May 4, 2013"
140601,Nemanja Vidić,"Oct 21, 1981",Manchester United,2012/2013,Blessure au dos,"Mar 31, 2013","Apr 13, 2013"
158023,Lionel Messi,"Jun 24, 1987",FC Barcelona,2015/2016,Blessure au genou,"Sep 27, 2015","Nov 20, 2015"
158023,Lionel Messi,"Jun 24, 1987",FC Barcelona,2013/2014,Ischio-jambier,"Nov 11, 2013","Jan 6, 2014"
152729,Gerard Piqué Bernabeu,"Feb 2, 1987",FC Barcelona,2021/2022,Ischio-jambier,"Apr 8, 2022","Apr 20, 2022"
177003,Luka Modrić,"Sep 9, 1985",Real Madrid CF,2021/2022,Ischio-jambier,"Aug 20, 2021","Sep 7, 2021"
177003,Luka Modrić,"Sep 9, 1985",Real Madrid CF,2020/2021,Blessure au dos,"Apr 20, 2021","Apr 23, 2021"
139068,Luís Carlos Almeida da Cunha,"Nov 17, 1986",Lazio,2017/2018,Blessure au genou,"Jul 26, 2017","Aug 31, 2017"
138123,Esteban Cambiasso,"Aug 18, 1980",Leicester City,2014/2015,Entorse du muscle de la cuisse,"Jan 4, 2015","Jan 22, 2015"
155862,Sergio Ramos García,"Mar 30, 1986",Paris Saint-Germain,2021/2022,Entorse du mollet,"Jan 27, 2022","Apr 2, 2022"
41,Andrés Iniesta Luján,"May 11, 1984",FC Barcelona,2017/2018,Ischio-jambier,"Oct 22, 2017","Nov 3, 2017"
41,Andrés Iniesta Luján,"May 11, 1984",FC Barcelona,2017/2018,Coup,"Aug 15, 2017","Aug 24, 2017"
162895,Francesc Fàbregas i Soler,"May 4, 1987", Monaco II,2021/2022,Entorse de l'aine,"Jan 23, 2022","Apr 19, 2022"
135455,Maicon Douglas Sisenando,"Jul 26, 1981",Manchester City,2012/2013,Blessure au genou,"Dec 13, 2012","Feb 2, 2013"
135455,Maicon Douglas Sisenando,"Jul 26, 1981",Manchester City,2012/2013,Blessure à la cheville ou au pied,"Sep 19, 2012","Nov 5, 2012"
140601,Nemanja Vidić,"Oct 21, 1981",Manchester United,2012/2013,Commotion cérébrale,"Jan 13, 2013","Jan 19, 2013"
140601,Nemanja Vidić,"Oct 21, 1981",Manchester United,2012/2013,Blessure au genou,"Sep 22, 2012","Dec 11, 2012"
158023,Lionel Messi,"Jun 24, 1987",FC Barcelona,2013/2014,Entorse du muscle de la cuisse,"Sep 29, 2013","Oct 18, 2013"
158023,Lionel Messi,"Jun 24, 1987",FC Barcelona,2013/2014,Ischio-jambier,"Aug 22, 2013","Aug 27, 2013"
152729,Gerard Piqué Bernabeu,"Feb 2, 1987",FC Barcelona,2021/2022,Entorse du mollet,"Nov 1, 2021","Nov 13, 2021"
177003,Luka Modrić,"Sep 9, 1985",Real Madrid CF,2020/2021,Ischio-jambier,"Dec 21, 2020","Dec 27, 2020"
177003,Luka Modrić,"Sep 9, 1985",Real Madrid CF,2019/2020,Coup,"Oct 14, 2019","Oct 29, 2019"
139068,Luís Carlos Almeida da Cunha,"Nov 17, 1986",Valencia CF,2016/2017,Ischio-jambier,"Feb 23, 2017","Apr 14, 2017"
139068,Luís Carlos Almeida da Cunha,"Nov 17, 1986",Valencia CF,2016/2017,Ischio-jambier,"Dec 1, 2016","Jan 7, 2017"
138123,Esteban Cambiasso,"Aug 18, 1980",Leicester City,2014/2015,Coup,"Oct 3, 2014","Oct 16, 2014"
155862,Sergio Ramos García,"Mar 30, 1986",Paris Saint-Germain,2021/2022,Entorse du muscle de la cuisse,"Dec 1, 2021","Dec 18, 2021"
41,Andrés Iniesta Luján,"May 11, 1984",FC Barcelona,2016/2017,Entorse du mollet,"Jan 20, 2017","Feb 3, 2017"
152908,Ashley Young,"Jul 9, 1985",Aston Villa,2021/2022,Blessure à l'orteil,"Jan 1, 2022","Jan 14, 2022"
20801,C. Ronaldo dos Santos Aveiro,"Feb 5, 1985",Manchester United,2021/2022,Blessure à l'aine/au bassin,"Jan 13, 2022","Jan 18, 2022"
140601,Nemanja Vidić,"Oct 21, 1981",Manchester United,2011/2012,Entorse du mollet,"Aug 14, 2011","Oct 10, 2011"
140601,Nemanja Vidić,"Oct 21, 1981",Manchester United,2009/2010,Entorse du mollet,"Dec 18, 2009","Dec 27, 2009"
158023,Lionel Messi,"Jun 24, 1987",FC Barcelona,2013/2014,Entorse du muscle de la cuisse,"May 12, 2013","Jun 1, 2013"
158023,Lionel Messi,"Jun 24, 1987",FC Barcelona,2012/2013,Entorse du mollet,"Apr 4, 2013","Apr 9, 2013"
152729,Gerard Piqué Bernabeu,"Feb 2, 1987",FC Barcelona,2021/2022,Entorse du mollet,"Aug 22, 2021","Sep 10, 2021"
177003,Luka Modrić,"Sep 9, 1985",Real Madrid CF,2019/2020,Ischio-jambier,"Sep 13, 2019","Sep 27, 2019"
177003,Luka Modrić,"Sep 9, 1985",Real Madrid CF,2017/2018,Ischio-jambier,"Feb 19, 2018","Mar 6, 2018"
139068,Luís Carlos Almeida da Cunha,"Nov 17, 1986",Manchester United,2013/2014,Ischio-jambier,"Dec 19, 2013","Mar 20, 2014"
139068,Luís Carlos Almeida da Cunha,"Nov 17, 1986",Manchester United,2013/2014,Blessure à l'aine/au bassin,"Aug 7, 2013","Aug 31, 2013"
155862,Sergio Ramos García,"Mar 30, 1986",Paris Saint-Germain,2021/2022,Entorse du muscle de la cuisse,"Nov 30, 2021","Dec 29, 2021"
155862,Sergio Ramos García,"Mar 30, 1986",Paris Saint-Germain,2021/2022,Entorse du mollet,"Jul 8, 2021","Nov 20, 2021"
41,Andrés Iniesta Luján,"May 11, 1984",FC Barcelona,2016/2017,Blessure au genou,"Aug 16, 2016","Sep 6, 2016"
41,Andrés Iniesta Luján,"May 11, 1984",FC Barcelona,2015/2016,Coup,"Mar 19, 2016","Mar 29, 2016"
162895,Francesc Fàbregas i Soler,"May 4, 1987", Monaco II,2021/2022,Entorse de l'aine,"Sep 23, 2021","Jan 22, 2022"
152908,Ashley Young,"Jul 9, 1985",Aston Villa,2021/2022,Coup,"Dec 15, 2021","Dec 25, 2021"
20801,C. Ronaldo dos Santos Aveiro,"Feb 5, 1985",Real Madrid CF,2017/2018,Blessure à la cheville ou au pied,"May 7, 2018","May 18, 2018"
20801,C. Ronaldo dos Santos Aveiro,"Feb 5, 1985",Real Madrid CF,2016/2017,Coup,"Mar 2, 2017","Mar 6, 2017"
152729,Gerard Piqué Bernabeu,"Feb 2, 1987",FC Barcelona,2020/2021,Blessure au genou,"Mar 4, 2021","Apr 9, 2021"
152729,Gerard Piqué Bernabeu,"Feb 2, 1987",FC Barcelona,2020/2021,Blessure au genou,"Nov 22, 2020","Feb 15, 2021"
177003,Luka Modrić,"Sep 9, 1985",Real Madrid CF,2016/2017,Ischio-jambier,"Jan 22, 2017","Feb 10, 2017"
177003,Luka Modrić,"Sep 9, 1985",Real Madrid CF,2016/2017,Blessure au genou,"Oct 1, 2016","Nov 4, 2016"
139068,Luís Carlos Almeida da Cunha,"Nov 17, 1986",Manchester United,2012/2013,Ischio-jambier,"Mar 11, 2013","Mar 29, 2013"
139068,Luís Carlos Almeida da Cunha,"Nov 17, 1986",Manchester United,2012/2013,Ischio-jambier,"Nov 8, 2012","Jan 15, 2013"
155862,Sergio Ramos García,"Mar 30, 1986",Paris Saint-Germain,2021/2022,Entorse du mollet,"May 24, 2021","Jun 30, 2021"
41,Andrés Iniesta Luján,"May 11, 1984",FC Barcelona,2015/2016,Ischio-jambier,"Sep 30, 2015","Oct 23, 2015"
41,Andrés Iniesta Luján,"May 11, 1984",FC Barcelona,2014/2015,Blessure au dos,"Apr 16, 2015","Apr 20, 2015"
162895,Francesc Fàbregas i Soler,"May 4, 1987",AS Monaco,2020/2021,Entorse du muscle de la cuisse,"Apr 12, 2021","Apr 24, 2021"
152908,Ashley Young,"Jul 9, 1985",Manchester United,2018/2019,Coup,"Sep 30, 2018","Oct 5, 2018"
20801,C. Ronaldo dos Santos Aveiro,"Feb 5, 1985",Real Madrid CF,2016/2017,Virus,"Sep 17, 2016","Sep 20, 2016"
