Update_Date_Team,Competition_ID,Competiton,Team_ID,Team,Overall_Comp,Attack_Comp,Milieu_Comp,Defense_Comp,NbJoueurs_Team,pays
"Aug 18, 2022",13, [England] Premier League,5,Chelsea,83,83,79,83,33,England
"Aug 18, 2022",13, [England] Premier League,9,Liverpool,84,84,82,84,33,England
"Aug 18, 2022",13, [England] Premier League,13,Newcastle United,79,79,78,79,30,England
"Aug 18, 2022",13, [England] Premier League,10,Manchester City,85,85,87,84,26,England
"Aug 18, 2022",13, [England] Premier League,14,Nottingham Forest,77,75,76,77,33,England
"Aug 18, 2022",19, [Germany] Bundesliga,21,FC Bayern München,85,83,85,84,29,Germany
"Aug 18, 2022",31, [Italy] Serie A,47,Milan,81,80,81,81,30,Italy
"Aug 18, 2022",53, [Spain] La Liga,241,FC Barcelona,83,83,85,82,31,Spain
"Aug 18, 2022",13, [England] Premier League,11,Manchester United,82,82,83,81,33,England
"Aug 18, 2022",13, [England] Premier League,17,Southampton,76,76,72,76,31,England
"Aug 18, 2022",13, [England] Premier League,1,Arsenal,81,81,83,80,31,England
"Aug 18, 2022",53, [Spain] La Liga,243,Real Madrid,85,85,85,84,33,Spain
"Aug 18, 2022",13, [England] Premier League,144,Fulham,76,77,76,74,32,England
"Aug 18, 2022",68, [Turkey] Super Lig,101028,Hatayspor,69,75,69,68,29,Turkey
"Aug 18, 2022",16, [France] Ligue 1,73,Paris Saint Germain,84,91,83,83,25,France
"Aug 18, 2022",19, [Germany] Bundesliga,1824,Eintracht Frankfurt,78,78,78,77,33,Germany
"Aug 18, 2022",19, [Germany] Bundesliga,10029,TSG Hoffenheim,77,77,77,76,33,Germany
"Aug 18, 2022",16, [France] Ligue 1,66,Olympique Lyonnais,77,75,76,77,27,France
"Aug 18, 2022",80, [Austria] Bundesliga,191,Salzburg,72,74,72,72,28,Austria
"Aug 18, 2022",13, [England] Premier League,110,Wolverhampton Wanderers,78,78,80,74,33,England
"Aug 18, 2022",50, [Scotland] Premiership,78,Celtic,74,74,75,73,28,Scotland
"Aug 18, 2022",68, [Turkey] Super Lig,326,Fenerbahçe,76,77,76,74,27,Turkey
"Aug 18, 2022",14, [England] Championship,106,Sunderland,68,71,68,67,30,England
"Aug 18, 2022",16, [France] Ligue 1,72,Nice,76,77,75,76,24,France
"Aug 18, 2022",16, [France] Ligue 1,69,Monaco,77,81,77,77,26,Monaco
"Aug 18, 2022",31, [Italy] Serie A,52,Roma,80,82,77,81,30,Italy
"Aug 18, 2022",19, [Germany] Bundesliga,36,VfB Stuttgart,74,74,74,76,33,Germany
"Aug 18, 2022",19, [Germany] Bundesliga,175,VfL Wolfsburg,76,76,76,76,27,Germany
"Aug 18, 2022",53, [Spain] La Liga,481,Sevilla,81,79,82,79,28,Spain
"Aug 18, 2022",16, [France] Ligue 1,379,Reims,72,71,72,71,24,France
"Aug 18, 2022",68, [Turkey] Super Lig,325,Galatasaray,76,79,76,74,27,Turkey
"Aug 18, 2022",16, [France] Ligue 1,74,Rennes,77,77,77,76,28,France
"Aug 18, 2022",2076, [Germany] 3. Liga,110676,Borussia Dortmund II,63,64,63,63,23,Germany
"Aug 18, 2022",32, [Italy] Serie B,110556,Genoa,72,73,71,72,28,Italy
"Aug 18, 2022",62, [England] National League,1947,Wrexham,63,65,63,62,28,Wales
"Aug 18, 2022",17, [France] Ligue 2,1819,Saint-Étienne,71,73,69,70,30,France
"Aug 18, 2022",60, [England] League One,1798,Milton Keynes Dons,64,64,64,64,27,England
"Aug 18, 2022",78, [World] Friendly International,1318,England,84,85,83,83,23,England
"Aug 18, 2022",1, [Denmark] Superliga,819,København,72,71,74,70,28,Denmark
"Aug 18, 2022",31, [Italy] Serie A,110373,Salernitana,74,76,73,72,29,Italy
"Aug 18, 2022",10, [Netherlands] Eredivisie,1906,AZ,74,75,75,71,30,Netherlands
"Aug 18, 2022",53, [Spain] La Liga,1860,Getafe,77,76,78,76,29,Spain
"Aug 18, 2022",14, [England] Championship,1806,Stoke City,69,69,69,69,30,England
"Aug 18, 2022",14, [England] Championship,1801,Preston North End,70,66,70,69,30,England
