ID_Player,Name,birth_date,Saison,Team,Competition,Minutes_Jouées,Apparition,Titulaire,Remplacé_xfois,A Remplacé_xfois,Sur le banc,Saison_trait
188545,Robert Lewandowski,"Aug 21, 1988",2022/2023, Poland,UEFA Nations League,249 ,3 ,3 ,0 ,1 ,0 ,2022/2023
188545,Robert Lewandowski,"Aug 21, 1988",2022, Poland,WC Qualification Europe,715 ,9 ,9 ,0 ,3 ,0 ,2022/2023
188545,Robert Lewandowski,"Aug 21, 1988",2020/2021, Poland,UEFA Nations League,276 ,4 ,4 ,0 ,3 ,0 ,2020/2021
188545,Robert Lewandowski,"Aug 21, 1988",2020, Poland,European Championship,270 ,3 ,3 ,0 ,0 ,0 ,2020/2021
188545,Robert Lewandowski,"Aug 21, 1988",2020, Poland,Euro Qualification,837 ,10 ,9 ,1 ,0 ,1 ,2020/2021
188545,Robert Lewandowski,"Aug 21, 1988",2018/2019, Poland,UEFA Nations League,0 ,3 ,3 ,0 ,0 ,0 ,2018/2019
188545,Robert Lewandowski,"Aug 21, 1988",2018, Poland,WC Qualification Europe,900 ,10 ,10 ,0 ,0 ,0 ,2018/2019
188545,Robert Lewandowski,"Aug 21, 1988",2018, Poland,World Cup,270 ,3 ,3 ,0 ,0 ,0 ,2018/2019
188545,Robert Lewandowski,"Aug 21, 1988",2016, Poland,Euro Qualification,876 ,10 ,10 ,0 ,1 ,0 ,2016/2017
188545,Robert Lewandowski,"Aug 21, 1988",2016, Poland,European Championship,450 ,5 ,5 ,0 ,0 ,0 ,2016/2017
188545,Robert Lewandowski,"Aug 21, 1988",2014, Poland,Euro Qualification,0 ,10 ,9 ,1 ,0 ,0 ,2014/2015
188545,Robert Lewandowski,"Aug 21, 1988",2012, Poland,European Championship,0 ,3 ,3 ,0 ,0 ,0 ,2012/2013
188545,Robert Lewandowski,"Aug 21, 1988",2012, Poland,Euro Qualification,270 ,3 ,3 ,0 ,0 ,0 ,2012/2013
177003,Luka Modrić,"Sep 9, 1985",2022/2023, Croatia,UEFA Nations League,245 ,4 ,2 ,2 ,1 ,2 ,2022/2023
188545,Robert Lewandowski,"Aug 21, 1988",2010, Poland,WC Qualification Europe,314 ,9 ,2 ,7 ,1 ,8 ,2010/2011
188545,Robert Lewandowski,"Aug 21, 1988",2008, Poland,Euro Qualification,0 ,3 ,2 ,1 ,0 ,7 ,2008/2009
177003,Luka Modrić,"Sep 9, 1985",2022, Croatia,WC Qualification Europe,534 ,7 ,6 ,1 ,2 ,1 ,2022/2023
177003,Luka Modrić,"Sep 9, 1985",2020/2021, Croatia,UEFA Nations League,360 ,4 ,4 ,0 ,0 ,0 ,2020/2021
177003,Luka Modrić,"Sep 9, 1985",2020, Croatia,European Championship,360 ,4 ,4 ,0 ,1 ,0 ,2020/2021
158023,Lionel Messi,"Jun 24, 1987",2022, Argentina,WC Qualification South America,1274 ,15 ,14 ,1 ,0 ,1 ,2022/2023
177003,Luka Modrić,"Sep 9, 1985",2020, Croatia,Euro Qualification,697 ,8 ,8 ,0 ,3 ,0 ,2020/2021
177003,Luka Modrić,"Sep 9, 1985",2018/2019, Croatia,UEFA Nations League,0 ,4 ,4 ,0 ,0 ,0 ,2018/2019
177003,Luka Modrić,"Sep 9, 1985",2018, Croatia,WC Qualification Europe,809 ,9 ,9 ,0 ,3 ,1 ,2018/2019
158023,Lionel Messi,"Jun 24, 1987",2021, Argentina,Copa America,630 ,7 ,7 ,0 ,0 ,0 ,2021/2022
158023,Lionel Messi,"Jun 24, 1987",2019, Argentina,Copa America,540 ,6 ,6 ,0 ,0 ,0 ,2019/2020
158023,Lionel Messi,"Jun 24, 1987",2018, Argentina,WC Qualification South America,630 ,10 ,10 ,0 ,0 ,0 ,2018/2019
177003,Luka Modrić,"Sep 9, 1985",2018, Croatia,World Cup,605 ,7 ,7 ,0 ,2 ,0 ,2018/2019
177003,Luka Modrić,"Sep 9, 1985",2016, Croatia,Euro Qualification,565 ,8 ,8 ,0 ,4 ,1 ,2016/2017
177003,Luka Modrić,"Sep 9, 1985",2016, Croatia,European Championship,242 ,3 ,3 ,0 ,1 ,0 ,2016/2017
211110,Paulo Dybala,"Nov 15, 1993",2022, Argentina,WC Qualification South America,78 ,3 ,1 ,2 ,1 ,4 ,2022/2023
138956,Giorgio Chiellini,"Aug 14, 1984",2022, Italy,WC Qualification Europe,185 ,3 ,2 ,1 ,0 ,3 ,2022/2023
158023,Lionel Messi,"Jun 24, 1987",2018, Argentina,World Cup,360 ,4 ,4 ,0 ,0 ,0 ,2018/2019
158023,Lionel Messi,"Jun 24, 1987",2016, Argentina,Copa America,343 ,5 ,3 ,2 ,0 ,3 ,2016/2017
158023,Lionel Messi,"Jun 24, 1987",2015, Argentina,Copa America,540 ,6 ,6 ,0 ,0 ,0 ,2015/2016
177003,Luka Modrić,"Sep 9, 1985",2014, Croatia,World Cup,0 ,3 ,3 ,0 ,0 ,0 ,2014/2015
177003,Luka Modrić,"Sep 9, 1985",2014, Croatia,WC Qualification Europe,180 ,12 ,11 ,1 ,1 ,0 ,2014/2015
177003,Luka Modrić,"Sep 9, 1985",2012, Croatia,European Championship,0 ,3 ,3 ,0 ,0 ,0 ,2012/2013
211110,Paulo Dybala,"Nov 15, 1993",2019, Argentina,Copa America,91 ,4 ,1 ,3 ,1 ,5 ,2019/2020
211110,Paulo Dybala,"Nov 15, 1993",2018, Argentina,WC Qualification South America,210 ,9 ,4 ,5 ,3 ,8 ,2018/2019
211110,Paulo Dybala,"Nov 15, 1993",2018, Argentina,World Cup,22 ,1 ,0 ,1 ,0 ,4 ,2018/2019
138956,Giorgio Chiellini,"Aug 14, 1984",2020/2021, Italy,UEFA Nations League,230 ,3 ,2 ,1 ,0 ,4 ,2020/2021
138956,Giorgio Chiellini,"Aug 14, 1984",2020, Italy,European Championship,384 ,5 ,5 ,0 ,1 ,0 ,2020/2021
138956,Giorgio Chiellini,"Aug 14, 1984",2020, Italy,Euro Qualification,270 ,3 ,3 ,0 ,0 ,0 ,2020/2021
138956,Giorgio Chiellini,"Aug 14, 1984",2018/2019, Italy,UEFA Nations League,0 ,3 ,3 ,0 ,0 ,1 ,2018/2019
176580,Luis Suárez,"Jan 24, 1987",2022, Uruguay,WC Qualification South America,1107 ,14 ,12 ,2 ,3 ,2 ,2022/2023
158023,Lionel Messi,"Jun 24, 1987",2014, Argentina,World Cup,0 ,6 ,6 ,0 ,1 ,0 ,2014/2015
158023,Lionel Messi,"Jun 24, 1987",2014, Argentina,WC Qualification South America,1141 ,14 ,12 ,2 ,0 ,2 ,2014/2015
158023,Lionel Messi,"Jun 24, 1987",2011, Argentina,Copa America,360 ,4 ,4 ,0 ,0 ,0 ,2011/2012
177003,Luka Modrić,"Sep 9, 1985",2012, Croatia,Euro Qualification,0 ,9 ,9 ,0 ,0 ,1 ,2012/2013
