Name,page_ref,Image,Natinality,PreferredPositions,Age,Overal,Potential,Club,ID,Height,Weight,PreferredFoot,best_overal,BP,Growth,Joined,LoanDateEnd,Value,Wage,ReleaseClause,Attacking,Crossing,Finishing,Heading,ShortPass,Volleys,Skill,Dribbling,Curve,FKAcc,LongPass,BallControl,Movement,Acceleration,SprintSpeed,Agility,Reactions,Balance,Power,ShotPower,Jumping,Stamina,Strength,LongShots,Mentality,Aggression,Interceptions,AttPosition,Vision,Penalties,Composure,Defending,Marking,StandTackle,SlideTackle,Goalkeeping,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Total,BaseStats,WeakFoot,SkillMoves,A/W,D/W,IR,PAC,SHO,PAS,DRI,DEF,PHY,PlayerWorkRate,BirthDate,Specialities,Club_ContractLength,Club_Position
Lionel Messi,/player/158023/lionel-messi/220069/,https://cdn.sofifa.net/players/158/023/22_60.png,Argentina,RW/ST/CF,34,92,92,Paris Saint Germain,158023,169cm,67kg,Left,93,CAM,0,"Aug 10, 2021",N/A,€69.5M,€290K,€128.6M,425,85,91,70,91,88,467,96,93,93,91,94,447,90,78,91,93,95,387,86,68,71,69,93,347,44,40,93,95,75,96,79,20,35,24,54,6,11,15,14,8,2206,457,4,4,Low,Low,5,83,90,91,95,34,64,Low/Low,"Jun 24, 1987",Dribbler/Distance Shooter/FK Specialist/Acrobat/Clinical Finisher/Complete Forward,2023,RW
Karim Benzema,/player/165153/karim-benzema/220069/,https://cdn.sofifa.net/players/165/153/22_60.png,France,CF/ST,33,91,91,Real Madrid,165153,185cm,81kg,Right,91,CF,0,"Jul 9, 2009",N/A,€84M,€450K,€172.2M,434,75,92,90,89,88,409,87,82,73,76,91,401,79,80,78,92,72,409,87,79,81,82,80,367,63,39,92,89,84,90,85,43,24,18,41,13,11,5,5,7,2146,455,4,4,Medium,Medium,4,80,88,83,87,39,78,Medium/Medium,"Dec 19, 1987",Poacher/Clinical Finisher,2023,CF
Robert Lewandowski,/player/188545/robert-lewandowski/220069/,https://cdn.sofifa.net/players/188/545/22_60.png,Poland,ST,32,92,92,FC Bayern München,188545,185cm,81kg,Right,92,ST,0,"Jul 1, 2014",N/A,€119.5M,€270K,€197.2M,430,71,95,90,85,89,407,85,79,85,70,88,407,77,78,77,93,82,424,90,85,76,86,87,396,81,49,95,81,90,88,96,35,42,19,51,15,6,12,8,10,2211,461,4,4,High,Medium,5,78,92,79,86,44,82,High/Medium,"Aug 21, 1988",Aerial Threat/Distance Shooter/Clinical Finisher/Complete Forward,2023,ST
Kevin De Bruyne,/player/192985/kevin-de-bruyne/220069/,https://cdn.sofifa.net/players/192/985/22_60.png,Belgium,CM/CAM,30,91,91,Manchester City,192985,181cm,70kg,Right,91,CM,0,"Aug 30, 2015",N/A,€125.5M,€350K,€232.2M,408,94,83,55,93,83,439,88,85,83,93,90,400,76,76,79,91,78,408,92,63,88,74,91,406,75,66,88,94,83,89,186,68,65,53,56,15,13,5,10,13,2303,484,5,4,High,High,4,76,87,93,87,64,77,High/High,"Jun 28, 1991",Dribbler/Playmaker/Engine/Distance Shooter/Crosser/Complete Midfielder,2025,RCM
N'Golo Kanté,/player/215914/ngolo-kante/220069/,https://cdn.sofifa.net/players/215/914/22_60.png,France,CDM/CM,30,90,90,Chelsea,215914,168cm,70kg,Right,90,CDM,0,"Jul 16, 2016",N/A,€100M,€230K,€185M,325,68,65,54,82,56,337,79,49,49,79,81,424,82,75,82,93,92,382,71,77,97,72,65,388,93,91,72,78,54,84,269,90,93,86,54,15,12,10,7,10,2179,471,3,2,Medium,High,4,78,66,75,82,87,83,Medium/High,"Mar 29, 1991",Tackling/Tactician,2023,RCM
David De Gea Quintana,/player/193080/david-de-gea-quintana/220069/,https://cdn.sofifa.net/players/193/080/22_60.png,Spain,GK,30,87,87,Manchester United,193080,192cm,76kg,Right,87,GK,0,"Jul 1, 2011",N/A,€53M,€150K,€98.1M,112,17,13,21,48,13,139,18,21,19,43,38,310,57,58,63,89,43,234,57,67,43,55,12,167,38,30,12,58,29,60,59,25,21,13,417,88,80,76,84,89,1438,474,3,1,Medium,Medium,4,88,80,76,89,57,84,Medium/Medium,"Nov 7, 1990",,2023,GK
Trent Alexander-Arnold,/player/231281/trent-alexander-arnold/220069/,https://cdn.sofifa.net/players/231/281/22_60.png,England,RB,22,87,90,Liverpool,231281,180cm,69kg,Right,88,CM,3,"Oct 7, 2015",N/A,€102.5M,€150K,€197.3M,373,92,62,69,87,63,427,78,87,85,91,86,389,78,82,73,83,73,378,82,66,89,66,75,380,74,83,78,90,55,82,242,79,83,80,56,14,15,14,6,7,2245,471,4,3,High,Medium,3,80,69,89,80,80,73,High/Medium,"Oct 7, 1998",Crosser,2025,RB
Thomas Müller,/player/189596/thomas-muller/220069/,https://cdn.sofifa.net/players/189/596/22_60.png,Germany,CAM/RM/CF,31,87,87,FC Bayern München,189596,185cm,76kg,Right,87,CAM,0,"Aug 10, 2008",N/A,€66M,€140K,€108.9M,423,85,88,81,85,84,380,77,81,59,79,84,371,66,68,72,94,71,389,78,77,86,66,82,372,62,58,96,86,70,84,150,47,57,46,52,6,7,11,14,14,2137,441,4,3,High,High,4,67,84,83,80,56,71,High/High,"Sep 13, 1989",Engine/Clinical Finisher,2024,CAM
Wojciech Szczęsny,/player/186153/wojciech-szczesny/220069/,https://cdn.sofifa.net/players/186/153/22_60.png,Poland,GK,31,86,86,Juventus,186153,195cm,90kg,Right,86,GK,0,"Jul 19, 2017",N/A,€36M,€100K,€61.2M,86,12,12,16,32,14,99,11,16,14,36,22,286,51,47,55,82,51,250,55,71,45,65,14,135,40,15,14,48,18,65,45,20,13,12,413,86,81,73,86,87,1314,462,3,1,Medium,Medium,3,86,81,73,87,49,86,Medium/Medium,"Apr 18, 1990",,2024,GK
Frenkie de Jong,/player/228702/frenkie-de-jong/220069/,https://cdn.sofifa.net/players/228/702/22_60.png,Netherlands,CM,24,87,92,FC Barcelona,228702,180cm,74kg,Right,89,CM,5,"Jul 1, 2019",N/A,€119.5M,€210K,€253.9M,383,78,72,72,91,70,412,87,84,64,88,89,416,80,82,87,88,79,373,68,76,89,74,66,372,74,82,77,86,53,90,229,76,76,77,49,7,13,10,10,9,2234,477,3,4,High,Medium,3,81,69,85,87,77,78,High/Medium,"May 12, 1997",Dribbler/Playmaker/Acrobat/Complete Midfielder,2026,RCM
Gianluigi Donnarumma,/player/230621/gianluigi-donnarumma/220069/,https://cdn.sofifa.net/players/230/621/22_60.png,Italy,GK,22,88,92,Paris Saint Germain,230621,196cm,90kg,Right,88,GK,4,"Jul 15, 2021",N/A,€106M,€110K,€204.1M,80,12,12,12,36,8,118,28,12,14,34,30,292,50,55,64,85,38,255,59,72,34,72,18,154,30,26,14,60,24,65,50,20,14,16,426,90,83,79,85,89,1375,478,3,1,Medium,Medium,3,90,83,79,89,52,85,Medium/Medium,"Feb 25, 1999",,2026,GK
Rúben Santos Gato Alves Dias,/player/239818/ruben-santos-gato-alves-dias/220069/,https://cdn.sofifa.net/players/239/818/22_60.png,Portugal,CB,24,88,91,Manchester City,239818,187cm,82kg,Right,90,CB,3,"Sep 29, 2020",N/A,€111.5M,€210K,€214.6M,284,54,29,87,82,32,308,64,46,48,76,74,332,58,69,61,88,56,350,74,78,87,89,22,312,92,85,39,51,45,81,264,90,89,85,47,7,8,13,7,12,1897,413,4,2,Medium,High,3,64,38,66,68,88,89,Medium/High,"May 14, 1997",Tackling,2027,RCB
Keylor Navas,/player/193041/keylor-navas/220069/,https://cdn.sofifa.net/players/193/041/22_60.png,Costa Rica,GK,34,88,88,Paris Saint Germain,193041,185cm,80kg,Right,88,GK,0,"Sep 2, 2019",N/A,€15.5M,€130K,€28.7M,88,11,15,11,40,11,127,24,21,15,37,30,313,54,53,60,85,61,257,56,74,39,75,13,163,32,22,16,68,25,67,56,28,14,14,424,89,84,75,87,89,1428,478,3,1,Medium,Medium,3,89,84,75,89,54,87,Medium/Medium,"Dec 15, 1986",,2024,SUB
Toni Kroos,/player/182521/toni-kroos/220069/,https://cdn.sofifa.net/players/182/521/22_60.png,Germany,CM,31,88,88,Real Madrid,182521,183cm,76kg,Right,88,CM,0,"Jul 17, 2014",N/A,€75M,€310K,€153.8M,398,88,77,58,93,82,431,80,86,84,93,88,331,55,52,63,90,71,354,89,32,75,72,86,379,60,80,76,90,73,88,204,71,73,60,51,10,11,13,7,10,2148,445,5,3,Medium,Medium,4,53,81,91,81,71,68,Medium/Medium,"Jan 4, 1990",Playmaker/Distance Shooter/Crosser/Complete Midfielder,2023,LCM
