ID_Player,Name,birth_date,Team,Saison,Type,Start,End
188545,Robert Lewandowski,"Aug 21, 1988",FC Barcelona,2022/2023,Suspended,"Nov 9, 2022","Jan 15, 2023"
188545,Robert Lewandowski,"Aug 21, 1988",Poland,2022,Suspended,"Nov 8, 2022","Jan 14, 2023"
188545,Robert Lewandowski,"Aug 21, 1988",FC Barcelona,2022/2023,Suspended,"Nov 8, 2022","Jan 14, 2023"
188545,Robert Lewandowski,"Aug 21, 1988",FC Bayern München,2019/2020,Suspended,"Jun 7, 2020","Jun 14, 2020"
208722,Sadio Mané,"Apr 10, 1992",Liverpool,2017/2018,Suspended,"Sep 10, 2017","Sep 20, 2017"
208722,Sadio Mané,"Apr 10, 1992",Southampton,2015/2016,Suspended,"Oct 26, 2015","Oct 29, 2015"
210257,Ederson Santana de Moraes,"Aug 17, 1993",Manchester City,2019/2020,Suspended,"Dec 28, 2019","Dec 30, 2019"
212622,Joshua Kimmich,"Feb 8, 1995",FC Bayern München,2019/2020,Suspended,"Dec 22, 2019","Jan 20, 2020"
212831,Alisson Ramses Becker,"Oct 2, 1992",Liverpool,2019/2020,Suspended,"Dec 1, 2019","Dec 5, 2019"
190871,Neymar da Silva Santos Jr.,"Feb 5, 1992",Paris Saint Germain,2022/2023,Suspended,"Oct 18, 2022","Oct 24, 2022"
190871,Neymar da Silva Santos Jr.,"Feb 5, 1992",Brazil,2022,Suspended,"Oct 17, 2022","Oct 23, 2022"
190871,Neymar da Silva Santos Jr.,"Feb 5, 1992",Paris Saint Germain,2021/2022,Suspended,"May 10, 2022","May 15, 2022"
190871,Neymar da Silva Santos Jr.,"Feb 5, 1992",Paris Saint Germain,2021/2022,Suspended,"May 9, 2022","May 14, 2022"
190871,Neymar da Silva Santos Jr.,"Feb 5, 1992",Brazil,2022,Suspended,"May 9, 2022","May 14, 2022"
190871,Neymar da Silva Santos Jr.,"Feb 5, 1992",Paris Saint Germain,2021/2022,Suspended,"Apr 19, 2022","Apr 21, 2022"
190871,Neymar da Silva Santos Jr.,"Feb 5, 1992",Brazil,2022,Suspended,"Apr 18, 2022","Apr 20, 2022"
190871,Neymar da Silva Santos Jr.,"Feb 5, 1992",Paris Saint Germain,2020/2021,Suspended,"Apr 7, 2021","Apr 19, 2021"
190871,Neymar da Silva Santos Jr.,"Feb 5, 1992",Paris Saint Germain,2020/2021,Suspended,"Feb 2, 2021","Feb 4, 2021"
190871,Neymar da Silva Santos Jr.,"Feb 5, 1992",Paris Saint Germain,2020/2021,Suspended,"Sep 15, 2020","Sep 22, 2020"
190871,Neymar da Silva Santos Jr.,"Feb 5, 1992",Paris Saint Germain,2020,Suspended,"Feb 26, 2020","Mar 1, 2020"
190871,Neymar da Silva Santos Jr.,"Feb 5, 1992",Paris Saint Germain,2019/2020,Suspended,"May 15, 2019","May 27, 2019"
190871,Neymar da Silva Santos Jr.,"Feb 5, 1992",Paris Saint Germain,2017/2018,Suspended,"Dec 5, 2017","Dec 11, 2017"
190871,Neymar da Silva Santos Jr.,"Feb 5, 1992",Paris Saint Germain,2017/2018,Suspended,"Oct 23, 2017","Oct 28, 2017"
190871,Neymar da Silva Santos Jr.,"Feb 5, 1992",FC Barcelona,2016/2017,Suspended,"Apr 9, 2017","Apr 27, 2017"
190871,Neymar da Silva Santos Jr.,"Feb 5, 1992",FC Barcelona,2016,Suspended,"Dec 4, 2016","Dec 11, 2016"
190871,Neymar da Silva Santos Jr.,"Feb 5, 1992",FC Barcelona,2015/2016,Suspended,"Mar 4, 2016","Mar 7, 2016"
190871,Neymar da Silva Santos Jr.,"Feb 5, 1992",FC Barcelona,2014/2015,Suspended,"Mar 1, 2015","Mar 9, 2015"
190871,Neymar da Silva Santos Jr.,"Feb 5, 1992",FC Barcelona,2013/2014,Suspended,"Dec 15, 2013","Dec 23, 2013"
203376,Virgil van Dijk,"Jul 8, 1991",Southampton,2016/2017,Suspended,"Jan 1, 2017","Jan 3, 2017"
203376,Virgil van Dijk,"Jul 8, 1991",FC Groningen,2012/2013,Suspended,"Apr 21, 2013","Apr 28, 2013"
203376,Virgil van Dijk,"Jul 8, 1991",FC Groningen,2012/2013,Suspended,"Apr 8, 2013","Apr 14, 2013"
215914,N'Golo Kanté,"Mar 29, 1991",Chelsea,2016/2017,Suspended,"Dec 18, 2016","Dec 27, 2016"
215914,N'Golo Kanté,"Mar 29, 1991",Chelsea,2016,Suspended,"Jun 27, 2016","Jul 4, 2016"
215914,N'Golo Kanté,"Mar 29, 1991",Caen,2014/2015,Suspended,"Aug 31, 2014","Sep 15, 2014"
20801,C. Ronaldo dos Santos Aveiro,"Feb 5, 1985",Manchester United,2022/2023,Suspended,"Oct 20, 2022","Oct 23, 2022"
20801,C. Ronaldo dos Santos Aveiro,"Feb 5, 1985",Manchester United,2022/2023,Suspended,"Oct 19, 2022","Oct 22, 2022"
20801,C. Ronaldo dos Santos Aveiro,"Feb 5, 1985",Real Madrid,2017/2018,Suspended,"Aug 14, 2017","Sep 18, 2017"
20801,C. Ronaldo dos Santos Aveiro,"Feb 5, 1985",Real Madrid,2014/2015,Suspended,"Jan 25, 2015","Feb 5, 2015"
20801,C. Ronaldo dos Santos Aveiro,"Feb 5, 1985",Real Madrid,2013/2014,Suspended,"Feb 3, 2014","Feb 23, 2014"
