ID,BirthDate,Name,From,To,ID_From,ID_To,Date,Prix,Nature
246618,"Jul 25, 2002",Adam Hložek,Sparta Praha,Bayer 04 Leverkusen,/team/267/sparta-praha/,/team/32/bayer-04-leverkusen/,"Jul 1, 2022",€ 13M,transfert
248243,"Nov 10, 2002",Eduardo Camavinga,Rennes,Real Madrid,/team/74/rennes/,/team/243/real-madrid/,"Aug 31, 2021",€ 31M,transfert
252371,"Jun 29, 2003",Jude Bellingham,Birmingham City,Borussia Dortmund,/team/88/birmingham-city/,/team/22/borussia-dortmund/,"Jul 23, 2020",€ 23M,transfert
259233,"Jan 19, 2003",Ilaix Moriba,Valencia,RB Leipzig,/team/461/valencia/,/team/112172/rb-leipzig/,"Jul 1, 2023",n/a,transfert
259233,"Jan 19, 2003",Ilaix Moriba,RB Leipzig,Valencia,/team/112172/rb-leipzig/,/team/461/valencia/,"Sep 1, 2022",loan,loan
259233,"Jan 19, 2003",Ilaix Moriba,Valencia,RB Leipzig,/team/461/valencia/,/team/112172/rb-leipzig/,"Jul 1, 2022",n/a,transfert
259233,"Jan 19, 2003",Ilaix Moriba,RB Leipzig,Valencia,/team/112172/rb-leipzig/,/team/461/valencia/,"Jan 28, 2022",loan,loan
259233,"Jan 19, 2003",Ilaix Moriba,Barcelona II,RB Leipzig,/team/110704/barcelona-ii/,/team/112172/rb-leipzig/,"Aug 31, 2021",€ 16M,transfert
23823,"Mar 10, 1982",Andreas Johansson,Norrköping,Halmstad,/team/702/norrkoping/,/team/321/halmstad/,"Jan 8, 2019",free,transfert
23823,"Mar 10, 1982",Andreas Johansson,VfL Bochum 1848,Norrköping,/team/160/vfl-bochum-1848/,/team/702/norrkoping/,"Jan 23, 2012",€ 200K,transfert
50632,"Jan 3, 1982",Peter Clarke,Walsall,Oldham Athletic,/team/1803/walsall/,/team/1920/oldham-athletic/,"Nov 11, 2022",free,transfert
50632,"Jan 3, 1982",Peter Clarke,Tranmere Rovers,Walsall,/team/15048/tranmere-rovers/,/team/1803/walsall/,"Jul 1, 2022",free,transfert
50632,"Jan 3, 1982",Peter Clarke,Fleetwood Town,Tranmere Rovers,/team/112260/fleetwood-town/,/team/15048/tranmere-rovers/,"Jan 1, 2020",free,transfert
50632,"Jan 3, 1982",Peter Clarke,Oldham Athletic,Fleetwood Town,/team/1920/oldham-athletic/,/team/112260/fleetwood-town/,"Aug 1, 2019",free,transfert
50632,"Jan 3, 1982",Peter Clarke,Bury,Oldham Athletic,/team/1945/bury/,/team/1920/oldham-athletic/,"Jul 1, 2018",n/a,transfert
50632,"Jan 3, 1982",Peter Clarke,Oldham Athletic,Bury,/team/1920/oldham-athletic/,/team/1945/bury/,"Jan 3, 2018",loan,loan
50632,"Jan 3, 1982",Peter Clarke,Bury,Oldham Athletic,/team/1945/bury/,/team/1920/oldham-athletic/,"Jul 20, 2016",free,transfert
50632,"Jan 3, 1982",Peter Clarke,Blackpool,Bury,/team/1926/blackpool/,/team/1945/bury/,"Jul 1, 2015",free,transfert
50632,"Jan 3, 1982",Peter Clarke,Huddersfield Town,Blackpool,/team/1939/huddersfield-town/,/team/1926/blackpool/,"Jul 28, 2014",free,transfert
